,product,measure,month,cost
163,Свинина,1 кг,март,93.07
164,Баранина,1 кг,март,99.90
165,Конина,1 кг,март,84.54
166,Колбаса вареная,1 кг,март,106.98
167,Колбаса полукопченая,1 кг,март,121.44
168,"Сосиски, сардельки",1 кг,март,103.97
169,Рыба свежая и охлажденная,1 кг,март,57.29
170,Рыба замороженная неразделанная,1 кг,март,64.67
171,Сельдь соленая,1 кг,март,71.79
172,"Кефир, айран",1 литр,март,15.46
173,Сметана,1 литр,март,74.85
174,Сливки,1 литр,март,39.59
175,Творог жирный,1 кг,март,44.36
176,Творог нежирный,1 кг,март,22.33
177,Яйца куриные,10 штук,март,26.80
178,Масло сливочное,1 кг,март,137.80
179,Хлопковое масло,1 кг,март,47.22
180,Подсолнечное масло,1 кг,март,56.75
181,Яблоки,1 кг,март,23.80
182,Aбрикосы,1 кг,март,0.00
183,"Клубника, малина",1 кг,март,0.00
184,Вишня,1 кг,март,0.00
185,Виноград свежий,1 кг,март,96.78
186,Aпельсины,1 кг,март,71.13
187,Лимоны,1 кг,март,65.45
188,Дыни,1 кг,март,20.46
189,Aрбузы,1 кг,март,0.00
190,Виноград сушеный,1 кг,март,45.43
191,Яблоки сушеные,1 кг,март,15.43
192,Курага,1 кг,март,53.94
193,Орехи грецкие,1 кг,март,48.72
194,Капуста свежая,1 кг,март,10.90
195,Лук репчатый,1 кг,март,8.40
196,Свекла,1 кг,март,6.86
197,Морковь,1 кг,март,7.57
198,Огурцы свежие,1 кг,март,58.54
199,Тыква,1 кг,март,7.22
200,Лук зеленый,1 кг,март,21.71
201,Помидоры свежие,1 кг,март,61.46
202,"Редиска, редька",1 кг,март,4.95
203,Баклажаны,1 кг,март,0.00
204,Горох,1 кг,март,20.93
205,Чеснок,1 кг,март,33.02
206,Томатная паста,1 кг,март,42.48
207,Картофель,1 кг,март,9.57
208,Сахар-песок,1 кг,март,23.03
209,Мед пчелиный натуральный,1 кг,март,94.47
210,Соль,1 кг,март,4.69
211,Майонез,1 кг,март,78.98
212,Дрожжи,50 гр.,март,8.10
213,Кофе натуральный растворимый,100 гр.,март,63.25
214,Чай черный байховый,100 гр.,март,19.59
215,Вода минеральная,"0,5 л.",март,5.11
216,Водка крепостью 40 градусов,"0,5 л.",март,33.95
217,Коньяк отечественный,"0,5 л.",март,115.59
218,Вино игристое отечественное,"0,7 л.",март,91.53
219,Сигареты с фильтром,1 пачка,март,21.97
220,Цемент,50 кг,март,87.92
221,"Электроэнергия, основной тариф",1 кВт. час,март,0.62
222,Природный газ,за 1 человека в месяц,март,37.23
223,Сжиженный газ ,1 кг,март,12.87
224,Уголь,1 тонна,март,1 031.53
225,Бензин автомобильной марки А-92,1 литр,март,16.27
226,Бензин автомобильной марки А-80,1 литр,март,12.69
227,Дизельное топливо,1 литр,март,9.98
228,Рис среднезерный,1 кг,апрель,23.76
229,Рис длиннозерный,1 кг,апрель,25.18
230,Мука пшеничная высшего сорта,1 кг,апрель,12.95
231,Мука пшеничная первого сорта,1 кг,апрель,9.94
232,Крупа манная,1 кг,апрель,20.02
233,Пшено,1 кг,апрель,17.71
234,Хлеб из пшеничной муки 1 сорта,1 кг,апрель,12.60
235,Лепешка,1 кг,апрель,13.57
236,Макаронные изделия,1 кг,апрель,19.11
237,"Вермишель, лапша",1 кг,апрель,14.90
238,Говядина,1 кг,апрель,86.11
239,Свинина,1 кг,апрель,93.63
240,Баранина,1 кг,апрель,102.55
241,Конина,1 кг,апрель,87.42
242,Колбаса вареная,1 кг,апрель,107.13
