product,measure,year,month,cost
Дизельное топливо,1 литр,2003,март,9.98
Рис среднезерный,1 кг,2003,апрель,23.76
Рис длиннозерный,1 кг,2003,апрель,25.18
Мука пшеничная высшего сорта,1 кг,2003,апрель,12.95
Мука пшеничная первого сорта,1 кг,2003,апрель,9.94
Крупа манная,1 кг,2003,апрель,20.02
Пшено,1 кг,2003,апрель,17.71
Хлеб из пшеничной муки 1 сорта,1 кг,2003,апрель,12.60
Лепешка,1 кг,2003,апрель,13.57
Макаронные изделия,1 кг,2003,апрель,19.11
"Вермишель, лапша",1 кг,2003,апрель,14.90
Говядина,1 кг,2003,апрель,86.11
Свинина,1 кг,2003,апрель,93.63
Баранина,1 кг,2003,апрель,102.55
Конина,1 кг,2003,апрель,87.42
Колбаса вареная,1 кг,2003,апрель,107.13
Колбаса полукопченая,1 кг,2003,апрель,121.54
"Сосиски, сардельки",1 кг,2003,апрель,104.85
Рыба свежая и охлажденная,1 кг,2003,апрель,59.72
Рыба замороженная неразделанная,1 кг,2003,апрель,64.67
Сельдь соленая,1 кг,2003,апрель,71.75
"Кефир, айран",1 литр,2003,апрель,15.32
Сметана,1 литр,2003,апрель,74.22
Сливки,1 литр,2003,апрель,39.21
Творог жирный,1 кг,2003,апрель,44.38
Творог нежирный,1 кг,2003,апрель,22.43
Яйца куриные,10 штук,2003,апрель,25.59
Масло сливочное,1 кг,2003,апрель,137.40
Хлопковое масло,1 кг,2003,апрель,47.86
Подсолнечное масло,1 кг,2003,апрель,57.03
Яблоки,1 кг,2003,апрель,26.04
Aбрикосы,1 кг,2003,апрель,0.00
"Клубника, малина",1 кг,2003,апрель,0.00
Вишня,1 кг,2003,апрель,0.00
Виноград свежий,1 кг,2003,апрель,100.00
Aпельсины,1 кг,2003,апрель,71.21
Лимоны,1 кг,2003,апрель,70.80
Дыни,1 кг,2003,апрель,0.00
Aрбузы,1 кг,2003,апрель,0.00
Виноград сушеный,1 кг,2003,апрель,45.49
Яблоки сушеные,1 кг,2003,апрель,15.66
Курага,1 кг,2003,апрель,53.94
Орехи грецкие,1 кг,2003,апрель,48.93
Капуста свежая,1 кг,2003,апрель,15.20
Лук репчатый,1 кг,2003,апрель,11.95
Свекла,1 кг,2003,апрель,8.38
Морковь,1 кг,2003,апрель,9.41
Огурцы свежие,1 кг,2003,апрель,40.18
Тыква,1 кг,2003,апрель,7.66
Лук зеленый,1 кг,2003,апрель,18.25
Помидоры свежие,1 кг,2003,апрель,61.35
"Редиска, редька",1 кг,2003,апрель,8.31
Баклажаны,1 кг,2003,апрель,0.00
Горох,1 кг,2003,апрель,20.27
Чеснок,1 кг,2003,апрель,35.72
Томатная паста,1 кг,2003,апрель,42.62
Картофель,1 кг,2003,апрель,10.90
Сахар-песок,1 кг,2003,апрель,23.04
Мед пчелиный натуральный,1 кг,2003,апрель,94.43
Соль,1 кг,2003,апрель,4.68
Майонез,1 кг,2003,апрель,79.02
Дрожжи,50 гр.,2003,апрель,8.10
Кофе натуральный растворимый,100 гр.,2003,апрель,62.76
Чай черный байховый,100 гр.,2003,апрель,19.58
Вода минеральная,"0,5 л.",2003,апрель,5.11
Водка крепостью 40 градусов,"0,5 л.",2003,апрель,33.95
Коньяк отечественный,"0,5 л.",2003,апрель,115.63
Вино игристое отечественное,"0,7 л.",2003,апрель,91.60
Сигареты с фильтром,1 пачка,2003,апрель,21.94
Цемент,50 кг,2003,апрель,89.45
"Электроэнергия, основной тариф",1 кВт. час,2003,апрель,0.62
Природный газ,за 1 человека в месяц,2003,апрель,36.62
Сжиженный газ ,1 кг,2003,апрель,13.57
Уголь,1 тонна,2003,апрель,1 026.92
Бензин автомобильной марки А-92,1 литр,2003,апрель,14.96
Бензин автомобильной марки А-80,1 литр,2003,апрель,11.88
Дизельное топливо,1 литр,2003,апрель,9.96
Рис среднезерный,1 кг,2003,май,23.17
Рис длиннозерный,1 кг,2003,май,25.18
Мука пшеничная высшего сорта,1 кг,2003,май,12.93
Мука пшеничная первого сорта,1 кг,2003,май,9.92
Крупа манная,1 кг,2003,май,20.04
Пшено,1 кг,2003,май,17.73
Хлеб из пшеничной муки 1 сорта,1 кг,2003,май,12.60
Лепешка,1 кг,2003,май,13.57
Макаронные изделия,1 кг,2003,май,18.88
"Вермишель, лапша",1 кг,2003,май,14.88
Говядина,1 кг,2003,май,86.58
Свинина,1 кг,2003,май,93.43
